bydel,barnehage,spot_litenavdeling,spot_storavdeling,barnehage_url,address,latitude,longitude,match_score,matched_official_name,name_match_score,barnehagefakta_url
Stovner,Stovnerfaret,0,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/stovnerfaret-barnehage/,"Stovnerfaret 25, 0982 OSLO",59.955614195904,10.925864107504,0.97,Stovnerfaret barnehage,0.6632,https://barnehagefakta.no/barnehage/923191577/stovnerfaret-barnehage
Stovner,Stovnerhøgda barnehage,12,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/stovnerhogda-barnehage/,"Fossumberget 22, 0983 OSLO",59.961086241005,10.931250954998,1.0,Stovnerhøgda barnehage,1.0000,https://barnehagefakta.no/barnehage/975298221/stovnerhogda-barnehage
Stovner,Tokerudtoppen Barnehage,11,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/tokerudtoppen-barnehage/,"Tokerudberget 24, 0986 Oslo",59.963467438712,10.928111388909,1.0,Tokerudtoppen barnehage,1.0000,https://barnehagefakta.no/barnehage/975298256/tokerudtoppen-barnehage
Stovner,Tokerudåsen barnehage,10,4,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/tokerudasen-barnehage/,"Tokerudberget 22, 0986 Oslo",59.963350951976,10.927477643178,1.0,Tokerudåsen barnehage,1.0000,https://barnehagefakta.no/barnehage/975298264/tokerudasen-barnehage
Stovner,Vesthellinga,10,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vesthellinga-barnehage/,"Johnny Svorkmos vei 52B, 0983 OSLO",59.958147309309,10.935056080697,0.97,Vesthellinga barnehage,0.6632,https://barnehagefakta.no/barnehage/975298310/vesthellinga-barnehage
Stovner,Vestliberget,6,8,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vestliberget-barnehage/,"Ragnhild Schibbyes vei 57, 0968 OSLO",59.972813621041,10.927149644623,0.97,Vestliberget barnehage,0.6632,https://barnehagefakta.no/barnehage/975298337/vestliberget-barnehage
Stovner,Vestlikollen,8,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vestlikollen-barnehage/,"Inga Bjørnsons vei 74, 0969 OSLO",59.968704873708,10.92988502117,0.97,Vestlikollen barnehage,0.6632,https://barnehagefakta.no/barnehage/990328269/vestlikollen-barnehage
Stovner,Vestliskaret FUS barnehage,7,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vestliskaret-fus-barnehage-as/,"Vestlisvingen 186, 0969 OSLO",59.972062485864,10.927536030037,0.97,Vestliskaret FUS barnehage AS,0.8825,https://barnehagefakta.no/barnehage/987610735/vestliskaret-fus-barnehage-as
Stovner,Vestliskogen barnehage,10,6,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vestliskogen-barnehage/,"Ragnhild Schibbyesvei 10, 0968 OSLO",59.975095,10.930038,1.0,Vestliskogen barnehage,1.0000,https://barnehagefakta.no/barnehage/922265852/vestliskogen-barnehage
Stovner,Vestlisletta barnehage,11,1,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vestlisletta-barnehage/,"Jacobine Ryes vei 114, 0987 OSLO",59.963860043878,10.922133075704,1.0,Vestlisletta barnehage,1.0000,https://barnehagefakta.no/barnehage/975291820/vestlisletta-barnehage
Stovner,Vestlisvingen Barnehage,11,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vestlisvingen-barnehage/,"Vestlisvingen 86, 0986 OSLO",59.968626751591,10.926010528109,1.0,Vestlisvingen barnehage,1.0000,https://barnehagefakta.no/barnehage/975298353/vestlisvingen-barnehage
Stovner,Vestlitoppen barnehage,9,1,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/vestlitoppen-barnehage/,"Vestlisvingen 194, 0969 OSLO",59.972977905096,10.930044115537,1.0,Vestlitoppen barnehage,1.0000,https://barnehagefakta.no/barnehage/975298361/vestlitoppen-barnehage
Stovner,Øvre Høybråten barnehage,10,11,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/ovre-hoybraten-barnehage/,"Solbakken Alle 4A, 1086 Oslo",59.943209195744,10.921008934274,1.0,Øvre Høybråten barnehage,1.0000,https://barnehagefakta.no/barnehage/975298388/ovre-hoybraten-barnehage
Søndre Nordstrand,Asperud FUS barnehage,10,5,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/asperud-fus-barnehage/,"Asperudåsen 57, 1258 OSLO",59.839039249043,10.801429097913,1.0,Asperud FUS barnehage,1.0000,https://barnehagefakta.no/barnehage/875316192/asperud-fus-barnehage-as
Søndre Nordstrand,Bjørnebo barnehage,16,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/bjornebo-barnehage/,"Stenbråtveien 11, 1283 OSLO",59.849827764434,10.824148620258,1.0,Bjørnebo barnehage,1.0000,https://barnehagefakta.no/barnehage/992733519/bjornebo-barnehage
Søndre Nordstrand,Bjørnåsen barnehage,15,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/bjornasen-barnehage/,"Bjørnefaret 2, 1270 OSLO",59.830690142005,10.833021796143,1.0,Bjørnåsen barnehage,1.0000,https://barnehagefakta.no/barnehage/975316203/bjornasen-barnehage
Søndre Nordstrand,Blakkens vei barnehage,6,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/blakkens-vei-barnehage/,"Blakkens vei 123, 1281 OSLO",59.841728514163,10.829809312202,1.0,Blakkens vei barnehage,1.0000,https://barnehagefakta.no/barnehage/973076353/blakkensvei-barnehage
Søndre Nordstrand,Brennastubben familiebarnehage,3,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/brennastubben-familiebarnehage-as/,"Brennastubben 16, 1279 OSLO",59.849049351651,10.843278636696,0.97,Brennastubben familiebarnehage AS,0.8571,https://barnehagefakta.no/barnehage/989836048/brennastubben-familiebarnehage-as
Søndre Nordstrand,Christiania barnehave Bjørndal,8,7,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/christiania-barnehave-bjorndal/,"Granbergstubben 11, 1275 OSLO",59.825750657387,10.838137783585,1.0,Christiania Barnehave Bjørndal,1.0000,https://barnehagefakta.no/barnehage/973501593/christiania-barnehave-bjorndal-as
Søndre Nordstrand,Elverhøy,6,7,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/elverhoy-barnehage/,"Øvre Prinsdals vei 8, 1266 OSLO",59.846730934457,10.807735376669,0.97,Elverhøy barnehage,0.5135,https://barnehagefakta.no/barnehage/975316211/elverhoy-barnehage
Søndre Nordstrand,Eventyrlia FUS barnehage,10,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/eventyrlia-fus-barnehage-as/,"Jordstjerneveien 48, 1283 OSLO",59.847870510537,10.818900430106,0.97,Eventyrlia FUS barnehage as,0.8801,https://barnehagefakta.no/barnehage/990032610/eventyrlia-fus-barnehage
Søndre Nordstrand,Hallagerbakken barnehage,10,4,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/hallagerbakken-barnehage/,"Ravnåsveien 38, 1254 Oslo",59.836408772256,10.788171168197,1.0,Hallagerbakken barnehage,1.0000,https://barnehagefakta.no/barnehage/975316238/hallagerbakken-barnehage
Søndre Nordstrand,Hallagerstua barnehage SA,6,5,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/hallagerstua-barnehage-sa/,"Hallagerbakken 36, 1256 Oslo",59.839209988648,10.791551554407,1.0,Hallagerstua barnehage SA,1.0000,https://barnehagefakta.no/barnehage/972734713/hallagerstua-barnehage-sa
Søndre Nordstrand,Holmsåsen FUS barnehage,11,6,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/holmsasen-fus-barnehage-as/,"Holmsåsen 59, 1259 Oslo",59.826629082933,10.801900574548,0.97,Holmsåsen FUS barnehage AS,0.8788,https://barnehagefakta.no/barnehage/989442147/holmsasen-fus-barnehage-as
Søndre Nordstrand,Jettegryta barnehage,3,19,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/jettegryta-barnehage/,"Gamle Bygdevei 25, 1284 OSLO",59.852003123645,10.828552458774,1.0,Jettegryta barnehage,1.0000,https://barnehagefakta.no/barnehage/975321614/jettegryta-barnehage
Søndre Nordstrand,Kantarellen barnehage,5,5,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/kantarellen-barnehage/,"Mortensrudveien 200, 1283 OSLO",59.848931710261,10.814245562782,1.0,Kantarellen barnehage,1.0000,https://barnehagefakta.no/barnehage/979589476/kantarellen-barnehage
Søndre Nordstrand,Lerdal,13,8,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/lerdal-barnehage/,"Berglyveien 2B, 1263 OSLO",59.836505303761,10.805901493469,0.97,Lerdal barnehage,0.4750,https://barnehagefakta.no/barnehage/975299260/lerdal-barnehage
Søndre Nordstrand,Lofsrud barnehage,9,11,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/lofsrud-barnehage/,"Lofsrudhøgda 212, 1281 Oslo",59.845452132948,10.827496924554,1.0,Lofsrud barnehage,1.0000,https://barnehagefakta.no/barnehage/975316270/lofsrud-barnehage
